snr,true_ratio,recovered,bias,n
10,1.0,1.2024034856614452,0.20240348566144517,300
10,1.2,1.2983074919112578,0.09830749191125787,300
10,1.5,1.5593720736248609,0.059372073624860855,300
10,1.8,1.7909552974575769,-0.009044702542423178,300
20,1.0,1.103214879865678,0.10321487986567801,300
20,1.2,1.2274773865132136,0.02747738651321363,300
20,1.5,1.5232161388051475,0.0232161388051475,300
20,1.8,1.8336417335238968,0.033641733523896766,300
30,1.0,1.067715555150269,0.06771555515026906,300
30,1.2,1.213051484813843,0.013051484813842995,300
30,1.5,1.5035269538898022,0.0035269538898021757,300
30,1.8,1.8098563389510056,0.009856338951005572,300
50,1.0,1.0373750496496845,0.03737504964968452,300
50,1.2,1.2081863925606195,0.008186392560619593,300
50,1.5,1.5050335596052473,0.0050335596052473175,300
50,1.8,1.8057531979248669,0.0057531979248668375,300
